already complexed:  909009694.xml | 11670 | Alföldi Tej Értékesítő És Beszerző Kft. | Alföldi Tej Értékesítő és Beszerző Korlátolt Felelősségű Társaság
MATCHED:     | 109932464.xml | 1541 | Auto-Classic Kft. | AUTO 16 CLASSIC Korlátolt Felelősségű Társaság
MATCHED:     | 109063008.xml | 4271 | ESRI Magyarország Kft. | ESRI Magyarország Informatikai Műszaki Fejlesztő és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1306040531.xml | 6195 | Duo-Line Bt. | DUO NET-LINE Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 109160476.xml | 4649 | H-KOMPLEX Biztonságvédelmi és Kereskedelmi Kft. | H-KOMPLEX Biztonságvédelmi és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109738730.xml | 2391 | D.B.B. Kft. | "B. S. D. Investment House" Ingatlanforgalmazó és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 1109003773.xml | 4768 | Kölyök Vendéglátó és Gyermekélelmezési Kft. | KÖLYÖK Vendéglátó és Gyermekélelmezési Korlátolt Felelősségű Társaság
MATCHED:     | 109069856.xml | 2402 | Dr. Telkes Vezetői Tanácsadó Kft. | Dr. Telkes József Vezetői Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 1009028911.xml | 2887 | B. Soares Kft. | B. SOARES Ingatlanhasznosító Korlátolt Felelősségű TársaságB.SOARES Ingatlanfejlesztő Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 109871254.xml | 3508 | Hun Média Kft. | Hun Média Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság "végelszámolás alatt"
MATCHED:     | 1309088451.xml | 6790 | Iker és Társa Kft. | IKER és Társa Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 2009064450.xml | 7498 | INTERÉP-'99 Kft. | INTERÉP-'99 Építőipari, Kivitelező és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109864269.xml | 2162 | Millenáris Kft. | MILLENÁRIS CAFÉ Vendéglátó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 510000368.xml | 6220 | ÉPSZER Építő és Szerelőipari Zártkörűen működő Részvénytársaság | ÉPSZER Építő-és Szerelőipari Zártkörűen működő Részvénytársaság
MATCHED:     | 609008802.xml | 523 | Dega Kft. | "DEGA SOFT"Számítástechnikai Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109678054.xml | 2195 | Valfort House Kft. | VALFORT HOUSE Ingatlanforgalmazó Korlátolt Felelősségű Társaság
MATCHED:     | 309100023.xml | 3425 | Expert Kft. | "EXPERT" Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság "végelszámolás alatt"
MATCHED:     | 809005437.xml | 2352 | Mol-Pig Kft. | MOL-PIG Mezőgazdasági Termelő Korlátolt Felelősségű Társaság
MATCHED:     | 806003602.xml | 4161 | Textor-Agmen 93 Bt. | TEXTOR-AGMEN 93 Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 1310040599.xml | 2414 | Unitis Rendszerház Rt. | UNITIS RENDSZERHÁZ Informatikai Zártkörűen Működő Részvénytársaság
MATCHED:     | 109060461.xml | 6053 | Festo Automatika Kereskedelmi és Szolgáltató Kft. | FESTO Automatika Kereskedelmi és Szolgáltató Kft.
MATCHED:     | 809002432.xml | 660 | Vasútépítők Pályatervező Kivitelező és Iparvágányfenntartó Kft. | Vasútépítők Pályatervező, Kivitelező és Iparvágányfenntartó Korlátolt Felelősségű Társaság
MATCHED:     | 109717144.xml | 20305 | Budapest Party Service Kft. | Budapest Party Service Vendéglátó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109669294.xml | 7247 | Kevei Lajos és Társai Kft. | Kevei Lajos és Társai Mélyépítő Szolgáltató Tervező Korlátolt Felelősségű Társaság
MATCHED:     | 110043670.xml | 2826 | Buda Faktor Zrt. | BUDA FAKTOR Zártkörűen Működő Részvénytársaság
MATCHED:     | 2006030255.xml | 4881 | Vásártér Bt. | "VÁSÁRTÉR" ABC Betéti Társaság
MATCHED:     | 110042439.xml | 1220 | BHG Híradástechnikai Zrt. | BHG Híradástechnikai Zártkörűen Működő Részvénytársaság
MATCHED:     | 109367995.xml | 7283 | TELLÉR ÉLELMISZER NAGYKERESKEDELMI KFT | TELLÉR Korlátolt Felelősségű TársaságTELLÉR Élelmiszer Nagykereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1306015770.xml | 6580 | ”Varga” Kereskedelmi Bt. | "3 Varga" Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 606015824.xml | 3483 | Inverker Kereskedelmi és Szolgáltató Bt. | Inverker Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 910000033.xml | 4451 | Debreceni Magas, Mély és Útépítő Zrt. | Debreceni Magas, Mély és Útépítő Zártkörűen Működő Részvénytársaság
MATCHED:     | 110045132.xml | 6473 | Globenet Zrt. | GLOBENET Számítástechnikai Fejlesztő és Kereskedelmi Zártkörűen Működő Részvénytársaság
MATCHED:     | 609013499.xml | 3709 | Gabonakutató Nonprofit Kft. | Gabonakutató Nonprofit Közhasznú Korlátolt Felelősségű Társaság
MATCHED:     | 509006544.xml | 6758 | Har Meron Hungary Kft. | HAR MERON HUNGARY Befektetési és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 110041585.xml | 4051 | OTP Bank Nyrt. | OTP Bank Nyrt .
MATCHED:     | 309109865.xml | 917 | Café-Minos Kft. | CAFÉ - MINOS Kereskedelmi és Szolgáltató Korlátolt Felelősségű TársaságCAFÉ - MINOS Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság "felszámolás alatt"
